Stretch,stress Mpa
1.000665638,0.016324786
1.001331276,0.021709402
1.002080119,0.026068376
1.002745756,0.029145299
1.003494599,0.033760684
1.004243442,0.036324786
1.00490908,0.042735043
1.005491513,0.047350427
1.006157151,0.04965812
1.006822789,0.050683761
1.007488427,0.05991453
1.008154065,0.067094017
1.008819703,0.075042735
1.00948534,0.081709402
1.010150978,0.088119658
1.010899821,0.094529915
1.011565459,0.097094017
1.012231097,0.098632479
1.012896735,0.110940171
1.013479168,0.121965812
1.014061601,0.12991453
1.014727239,0.13965812
1.015392877,0.144786325
1.01597531,0.140940171
1.016640948,0.156581197
1.017223381,0.173760684
1.017889019,0.186837607
1.018554657,0.197863248
1.01913709,0.20042735
1.019802728,0.205555556
1.020385162,0.224273504
1.0210508,0.240940171
1.021550028,0.256324786
1.022132461,0.269401709
1.022798099,0.266068376
1.023463737,0.282735043
1.02404617,0.304273504
1.024628603,0.325042735
1.025211037,0.344529915
1.02579347,0.358632479
1.026459108,0.360683761
1.026958336,0.38017094
1.027457565,0.402991453
1.027956793,0.426837607
1.028622431,0.45042735
1.029204864,0.474529915
1.029704093,0.497863248
1.030286526,0.498376068
1.030785754,0.522735043
1.031451392,0.548376068
1.032699463,0.598376068
1.033281896,0.626324786
1.03369792,0.660940171
1.034113944,0.687350427
1.034613172,0.700683761
1.035195606,0.719401709
1.035861243,0.750683761
1.036526881,0.783247863
1.037109315,0.82042735
1.037691748,0.852478632
1.038190976,0.877863248
1.038856614,0.887863248
1.039355843,0.926324786
1.039938276,0.965042735
1.040520709,1.006324786
1.041103142,1.042991453
1.041519166,1.051452991
1.042850442,1.128376068
1.04334967,1.174786325
1.044098513,1.224529915
1.044764151,1.267350427
1.045512993,1.28017094
1.046012222,1.317350427
1.046594655,1.362991453
1.047177088,1.410940171
1.047676317,1.457606838
1.048175545,1.467350427
1.048757978,1.502991453
1.049423616,1.546581197
1.050006049,1.587350427
1.050671687,1.62965812
1.051337325,1.665811966
1.052002963,1.684017094
1.052751806,1.727350427
1.053417444,1.771196581
1.054083082,1.813247863
1.05474872,1.859401709
1.055331153,1.896581197
1.055913586,1.913247863
1.056579224,1.952735043
1.057244862,1.999401709
1.057827295,2.044273504
1.058576138,2.092991453
1.05932498,2.136837607
1.059990618,2.156581197
1.060573052,2.203760684
1.06123869,2.252735043
1.061904327,2.304017094
1.062569965,2.354273504
1.063235603,2.403760684
1.063984446,2.425811966
1.064733289,2.470940171
1.065648541,2.525299145
1.066397383,2.575555556
1.067229431,2.63042735
1.067978274,2.684529915
1.068727116,2.717350427
1.069559164,2.759401709
1.070224802,2.807863248
1.070973644,2.862478632
1.071639282,2.915811966
1.07230492,2.972991453
1.073136968,3.023760684
1.07388581,3.056068376
1.074634653,3.097863248
1.075300291,3.147094017
1.076049133,3.195299145
1.076797976,3.248888889
1.077546819,3.291452991
1.078295661,3.313504274
1.079127709,3.337863248
1.079959756,3.373760684
1.080708599,3.407350427
1.081457442,3.439145299
1.082206284,3.463504274
1.082955127,3.471196581
1.083787174,3.475811966
1.084619222,3.501196581
1.085368064,3.519145299
1.086283317,3.53965812
1.086948955,3.566068376
1.087614592,3.63042735
1.08828023,3.683504274
1.089112278,3.746837607
1.089861121,3.814529915
1.090693168,3.880683761
1.091442011,3.945555556
1.092107649,4.010683761
1.092856491,4.068119658
1.093438924,4.126837607
1.09493661,4.246068376
1.095685452,4.29965812
1.09635109,4.353760684
1.096933524,4.410683761
1.097682366,4.466324786
1.098264799,4.524786325
1.098930437,4.583760684
1.099429666,4.638376068
1.100012099,4.692478632
1.100511327,4.746837607
1.101093761,4.804017094
1.101676194,4.856068376
1.102175422,4.902991453
1.102591446,4.954017094
1.103090674,5.009401709
1.103589903,5.059145299
1.104005927,5.106837607
1.10442195,5.164529915
1.105004383,5.222478632
1.105420407,5.275811966
1.105836431,5.327094017
1.106252455,5.381452991
1.106751683,5.42965812
1.107334116,5.483760684
1.107916549,5.535811966
1.108332573,5.588376068
1.108915006,5.646068376
1.10933103,5.694529915
1.109830258,5.752735043
1.110412692,5.801965812
1.11091192,5.855811966
1.111494353,5.909145299
1.112076786,5.96042735
1.112825629,6.012991453
1.113491267,6.061709402
1.1140737,6.116068376
1.114572929,6.16965812
1.115072157,6.224529915
1.115737795,6.28017094
1.116320228,6.332478632
1.116819457,6.384529915
1.117568299,6.438376068
1.118150733,6.488119658
1.11881637,6.538888889
1.119398804,6.582735043
1.119981237,6.623247863
1.120646875,6.672478632
1.121229308,6.726068376
1.121978151,6.779401709
1.122643789,6.830683761
1.123226222,6.879401709
1.12389186,6.929401709
1.124557498,6.975299145
1.125223136,7.03042735
1.125971978,7.072222222
1.126637616,7.115299145
1.127220049,7.154273504
1.127885687,7.18965812
1.128551325,7.233247863
1.129216963,7.281709402
1.129965806,7.326837607
1.130714648,7.375299145
1.131546696,7.413504274
1.132295539,7.465042735
1.133044381,7.507606838
1.133710019,7.548376068
1.134458862,7.58991453
1.135290909,7.623504274
1.136122957,7.65991453
1.136788595,7.696837607
1.137537437,7.743760684
1.138203075,7.786837607
1.139035123,7.825555556
1.13986717,7.868119658
1.140616013,7.907863248
1.141364855,7.952735043
1.142196903,7.992991453
1.14302895,8.024017094
1.143860998,8.047606838
1.14477625,8.070940171
1.145525092,8.103504274
1.146273935,8.142991453
1.147272392,8.175811966
1.148187644,8.211965812
1.149019692,8.246324786
1.149768534,8.274529915
1.150434172,8.285555556
1.151183015,8.314017094
1.151848653,8.353247863
1.152597495,8.383760684
1.153429543,8.414786325
1.15426159,8.441709402
1.155010433,8.45991453
1.155759276,8.463247863
1.156508118,8.502478632
1.156508118,8.395811966


# Details:
Description: 
Author: 
Publication Link: 
Experimental Details : 
Tags:
