Stretch,Stress (Mpa)
1.000547711,0.023009259
1.001251911,0.015925926
1.001877867,0.022592593
1.002347333,0.026342593
1.002895044,0.029259259
1.003521,0.022175926
1.0042252,0.030509259
1.0049294,0.034675926
1.0056336,0.036342593
1.006181311,0.029675926
1.006650778,0.039259259
1.007198489,0.040925926
1.007824445,0.044675926
1.008372156,0.042175926
1.009076356,0.044675926
1.009624067,0.051342593
1.010328267,0.054675926
1.010954222,0.056342593
1.011501933,0.054259259
1.012127889,0.059259259
1.012519111,0.065925926
1.013066822,0.068425926
1.013692778,0.071759259
1.014396978,0.067592593
1.015101178,0.073425926
1.015648889,0.082592593
1.0161966,0.083842593
1.016822556,0.084675926
1.017370267,0.083009259
1.017917978,0.089259259
1.018465689,0.098425926
1.0190134,0.104675926
1.019639356,0.107592593
1.020108823,0.100092593
1.020578289,0.112592593
1.021204245,0.125092593
1.0218302,0.125509259
1.022377911,0.124259259
1.022847378,0.125092593
1.023473334,0.139675926
1.024021045,0.144675926
1.024647,0.155925926
1.025194711,0.141342593
1.025664178,0.157592593
1.026211889,0.168425926
1.026837845,0.176759259
1.027385556,0.159675926
1.027776778,0.182175926
1.028324489,0.194259259
1.029028689,0.195509259
1.029654645,0.184259259
1.030202356,0.210092593
1.030750067,0.220925926
1.031297778,0.220925926
1.031923734,0.210925926
1.0323932,0.235509259
1.032706178,0.246342593
1.033410378,0.241342593
1.034114578,0.241759259
1.034740534,0.265092593
1.035366489,0.272592593
1.035914201,0.261342593
1.036461912,0.268425926
1.037087867,0.292175926
1.037557334,0.298009259
1.038026801,0.278009259
1.038731001,0.294259259
1.039278712,0.315925926
1.039904667,0.326759259
1.040530623,0.305925926
1.041078334,0.314259259
1.041704289,0.336342593
1.042330245,0.343009259
1.042877956,0.326759259
1.043503912,0.330092593
1.044912312,0.362592593
1.045616512,0.361342593
1.046164223,0.343009259
1.046868423,0.363842593
1.047494378,0.386342593
1.04804209,0.379675926
1.048668045,0.362175926
1.049528734,0.386759259
1.050311178,0.401342593
1.050937134,0.381759259
1.05156309,0.382592593
1.05226729,0.408842593
1.052815001,0.421759259
1.053519201,0.382175926
1.054145156,0.408009259
1.054614623,0.428425926
1.055162334,0.405509259
1.055710045,0.409259259
1.05649249,0.445509259
1.05719669,0.425925926
1.057822645,0.420092593
1.05860509,0.458842593
1.059387534,0.438842593
1.060091734,0.433009259
1.060795934,0.472175926
1.061500134,0.464675926
1.062047845,0.444675926
1.06283029,0.484675926
