Elongation,True Stress
1,0
1.008,0.014
1.015,0.023
1.023,0.027
1.03,0.027
1.038,0.035
1.045,0.034739
1.053,0.042168
1.06,0.028272
1.068,0.056865
1.075,0.071886
1.083,0.072286
1.09,0.072688
1.098,0.073086
1.105,0.081277
1.113,0.082277
1.12,0.084277
1.128,0.085277
1.135,0.087277
1.143,0.088277
1.15,0.090277
1.158,0.091277
1.165,0.093277
1.173,0.096576
1.18,0.11827
1.188,0.126826
1.195,0.127503
1.203,0.144194
1.21,0.144954
1.218,0.154604
1.225,0.179936
1.233,0.172643
1.24,0.198312
1.248,0.226
1.255,0.234905
1.263,0.244509
1.27,0.288101
1.278,0.289524
1.285,0.325187
1.293,0.328383
1.3,0.364712
1.308,0.401393
1.315,0.419
1.323,0.448
1.33,0.480272
1.338,0.500395
1.345,0.511739
1.353,0.55922
1.361,0.579969
1.368,0.595
1.375,0.633966
1.383,0.664567
1.39,0.695412
1.398,0.698525
1.405,0.739115
1.413,0.755206
1.42,0.768038
1.428,0.787
1.436,0.803572
1.443,0.810659
1.45,0.785099
1.458,0.807951
1.465,0.850561
1.473,0.873843
1.48,0.907153
1.488,0.930809
1.495,0.968665
1.503,1.002828
1.51,1.037241
1.518,1.041588
1.525,1.076371
1.533,1.064784
1.54,1.12054
1.548,1.145744
1.555,1.171147
1.563,1.196695
1.57,1.227356
1.578,1.232288
1.585,1.258317
1.593,1.273929
1.6,1.289608
1.608,1.331987
1.615,1.33718
1.623,1.364064
1.63,1.412811
