 Lambda Circum, Lambda - Radial,Cauchy Stress - Circum,Cauchy Stress - Radial
1.009983526,1.005101422,0.01206191,0.00640192
1.018234288,1.005699466,0.0202674,0.00960859
1.020190749,1.008462197,0.01489132,0.01070554
1.025134958,1.010674977,0.00952222,0.00670565
1.016269577,1.029360672,0.00404566,-0.0051905
1.018375785,1.033882246,0.01486483,-0.004253
1.021869104,1.042798885,0.0244077,0.00096863
1.017964024,1.046077532,0.04727805,0.00707935
1.020623586,1.051841734,0.06229921,0.00851411
1.019919982,1.057583527,0.07037664,0.01894556
1.022674335,1.065001708,0.0732808,0.00975121
1.025241329,1.069684373,0.08026704,0.0157557
1.023989742,1.073825772,0.06929867,0.01025948
1.029826798,1.082169732,0.06286098,0.0248428
1.030032774,1.08393181,0.07107445,0.01668473
1.027871862,1.089025355,0.08183693,0.0208094
1.033267119,1.095467537,0.10694644,0.03139875
1.030605156,1.101508381,0.13402243,0.03201039
1.033677736,1.105849376,0.16185506,0.02700057
1.037252476,1.11340717,0.17893156,0.0347201
1.036863686,1.115087175,0.18711977,0.03861966
1.034430099,1.120048486,0.19079855,0.05097885
1.035690204,1.125057078,0.21164582,0.05120682
1.031762354,1.12875695,0.2286416,0.06126083
1.031939187,1.137031947,0.20677125,0.05522209
1.035280754,1.1428592,0.24728043,0.07552334
1.032390929,1.142548836,0.23837052,0.05912872
1.033748531,1.149298763,0.24554271,0.07289873
1.03601518,1.154195456,0.28044997,0.08684034
1.034346705,1.156047973,0.29921388,0.07992317
1.037257354,1.158101503,0.32345472,0.09773787
1.035568202,1.166258014,0.32705047,0.10399753
1.034630918,1.169841744,0.32812737,0.11409683
1.035970618,1.173829261,0.3464233,0.10763217
1.038527299,1.176106967,0.37621809,0.13546455
1.039413332,1.179922478,0.38481465,0.13668688
1.038303538,1.183963597,0.39129273,0.14783834
1.040735587,1.187579735,0.40601946,0.16987937
1.035564462,1.190436548,0.41362116,0.1713938
1.035906642,1.194904921,0.42887855,0.19328412
1.041407823,1.199153239,0.44635712,0.18760638
1.038720693,1.201059249,0.46174553,0.23651432
1.040602292,1.203594916,0.47915206,0.20858479
1.040120797,1.206798269,0.49135218,0.2679105
1.041099984,1.209922343,0.51668179,0.2411496
1.042079172,1.212531202,0.53376136,0.28382498
1.042142555,1.212856865,0.55177134,0.27183058
1.041251966,1.221394148,0.57064366,0.30632098
1.041822895,1.223115226,0.5833987,0.29928669
1.04278698,1.224696498,0.60054346,0.31559987
1.041389191,1.230152537,0.60250224,0.35797831
1.041741405,1.233676729,0.61100013,0.34770825
1.042520662,1.237881654,0.62114089,0.3786249
1.040352959,1.239813601,0.63917651,0.39550317
1.042001974,1.241762828,0.64710314,0.43929667
1.042354586,1.247468404,0.65562112,0.42741022
1.041964604,1.249547841,0.68026352,0.45249682
1.040698878,1.251795119,0.70567559,0.44799515
1.04170498,1.254048694,0.71465164,0.47775661
1.039938729,1.258235565,0.72861949,0.47985258
1.040944,1.261235182,0.7362303,0.52032646
1.034865372,1.264100577,0.75527595,0.54381822
1.034993306,1.267011491,0.76772991,0.55364502
1.039682493,1.271203694,0.78500443,0.58482792
1.040394492,1.274031454,0.78416145,0.59525806
1.038978321,1.27940865,0.79688093,0.56534379
1.04099067,1.284146926,0.8039498,0.64991194
1.038186634,1.284960964,0.81142772,0.66618133
1.039138879,1.29151166,0.81630867,0.64232825


# Details:
Description: File1
Author: name
Publication Link: Link1
Experimental Details : Strain rate, DIC, etc
Tags: porcine tissue
